d kind k MSE
0.01 regular 1 4770.164062
0.01 regular 5 4560.746582
0.01 regular 10 4339.097168
0.01 regular 100 1916.599487
0.01 regular 1000 41.208443
0.01 random 1 4747.486328
0.01 random 5 4505.448730
0.01 random 10 4262.512207
0.01 random 100 2037.116455
0.01 random 1000 56.356422
0.01 dither 1 4865.061035
0.01 dither 5 4836.109863
0.01 dither 10 4807.550781
0.01 dither 100 4609.457520
0.01 dither 1000 4148.784668
0.05 regular 1 4398.287109
0.05 regular 5 3510.309570
0.05 regular 10 2664.962646
0.05 regular 100 46.418293
0.05 regular 1000 24.458138
0.05 random 1 4246.589844
0.05 random 5 3282.578369
0.05 random 10 2508.371094
0.05 random 100 99.459320
0.05 random 1000 25.761847
0.05 dither 1 4517.276855
0.05 dither 5 4049.267334
0.05 dither 10 3699.954590
0.05 dither 100 1703.954224
0.05 dither 1000 518.029114
0.1 regular 1 4119.509277
0.1 regular 5 2779.987793
0.1 regular 10 1720.143799
0.1 regular 100 22.690027
0.1 regular 1000 22.037357
0.1 random 1 3668.575195
0.1 random 5 2181.300781
0.1 random 10 1275.291016
0.1 random 100 24.253405
0.1 random 1000 22.548700
0.1 dither 1 3981.439209
0.1 dither 5 2973.450684
0.1 dither 10 2301.655273
0.1 dither 100 717.080933
0.1 dither 1000 252.590515
0.2 regular 1 3584.935547
0.2 regular 5 1685.821289
0.2 regular 10 686.662964
0.2 regular 100 20.958549
0.2 regular 1000 20.964035
0.2 random 1 2680.807373
0.2 random 5 924.032288
0.2 random 10 320.591644
0.2 random 100 21.454065
0.2 random 1000 21.447718
0.2 dither 1 3124.235107
0.2 dither 5 1685.056763
0.2 dither 10 1057.911255
0.2 dither 100 162.912445
0.2 dither 1000 29.293806
0.5 regular 1 2564.647705
0.5 regular 5 528.710938
0.5 regular 10 95.259872
0.5 regular 100 20.784983
0.5 regular 1000 20.784983
0.5 random 1 806.579529
0.5 random 5 70.166298
0.5 random 10 28.806536
0.5 random 100 24.351435
0.5 random 1000 24.351435
0.5 dither 1 1604.957153
0.5 dither 5 514.014648
0.5 dither 10 253.616531
0.5 dither 100 31.969501
0.5 dither 1000 30.697243
